sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.613408029,-1,-1
1,baseline,0.594399989,-1,-1
2,baseline,0.593792021,-1,-1
3,baseline,0.591423988,-1,-1
4,baseline,0.591871977,-1,-1
5,baseline,0.593599975,-1,-1
6,baseline,0.592863977,-1,-1
7,baseline,0.592832029,-1,-1
8,baseline,0.593280017,-1,-1
9,baseline,0.592095971,-1,-1
10,baseline,0.591903985,-1,-1
11,baseline,0.590623975,-1,-1
12,baseline,0.592927992,-1,-1
13,baseline,0.59068799,-1,-1
14,baseline,0.593024015,-1,-1
15,baseline,0.592000008,-1,-1
16,baseline,0.59324801,-1,-1
17,baseline,0.592000008,-1,-1
18,baseline,0.591840029,-1,-1
19,baseline,0.59366399,-1,-1
20,baseline,0.592320025,-1,-1
21,baseline,0.591903985,-1,-1
22,baseline,0.592095971,-1,-1
23,baseline,0.592000008,-1,-1
24,baseline,0.592095971,-1,-1
25,baseline,0.592607975,-1,-1
26,baseline,0.591968,-1,-1
27,baseline,0.592895985,-1,-1
28,baseline,0.591615975,-1,-1
29,baseline,0.593919992,-1,-1
30,baseline,0.593568027,-1,-1
31,baseline,0.591968,-1,-1
32,baseline,0.593056023,-1,-1
33,baseline,0.592127979,-1,-1
34,baseline,0.592288017,-1,-1
35,baseline,0.591808021,-1,-1
36,baseline,0.593599975,-1,-1
37,baseline,0.592095971,-1,-1
38,baseline,0.593695998,-1,-1
39,baseline,0.601535976,-1,-1
40,baseline,0.593631983,-1,-1
41,baseline,0.592064023,-1,-1
42,baseline,0.593599975,-1,-1
43,baseline,0.590111971,-1,-1
44,baseline,0.592639983,-1,-1
45,baseline,0.593887985,-1,-1
46,baseline,0.592064023,-1,-1
47,baseline,0.591903985,-1,-1
48,baseline,0.591871977,-1,-1
49,baseline,0.592607975,-1,-1
50,baseline,0.593919992,-1,-1
51,baseline,0.590848029,-1,-1
52,baseline,0.591903985,-1,-1
53,baseline,0.591903985,-1,-1
54,baseline,0.593407989,-1,-1
55,baseline,0.591455996,-1,-1
56,baseline,0.591903985,-1,-1
57,baseline,0.59324801,-1,-1
58,baseline,0.591391981,-1,-1
59,baseline,0.592224002,-1,-1
60,baseline,0.592127979,-1,-1
61,baseline,0.596639991,-1,-1
62,baseline,0.593216002,-1,-1
63,baseline,0.592064023,-1,-1
64,baseline,0.591871977,-1,-1
65,baseline,0.592095971,-1,-1
66,baseline,0.591840029,-1,-1
67,baseline,0.593919992,-1,-1
68,baseline,0.593216002,-1,-1
69,baseline,0.59225601,-1,-1
70,baseline,0.592064023,-1,-1
71,baseline,0.591903985,-1,-1
72,baseline,0.592832029,-1,-1
73,baseline,0.593343973,-1,-1
74,baseline,0.592064023,-1,-1
75,baseline,0.591871977,-1,-1
76,baseline,0.591871977,-1,-1
77,baseline,0.591552019,-1,-1
78,baseline,0.593312025,-1,-1
79,baseline,0.592191994,-1,-1
80,baseline,0.609471977,-1,-1
81,baseline,0.593472004,-1,-1
82,baseline,0.592032015,-1,-1
83,baseline,0.591840029,-1,-1
84,baseline,0.590879977,-1,-1
85,baseline,0.59366399,-1,-1
86,baseline,0.591871977,-1,-1
87,baseline,0.592607975,-1,-1
88,baseline,0.591903985,-1,-1
89,baseline,0.59366399,-1,-1
90,baseline,0.592576027,-1,-1
91,baseline,0.591871977,-1,-1
92,baseline,0.593375981,-1,-1
93,baseline,0.592320025,-1,-1
94,baseline,0.592895985,-1,-1
95,baseline,0.592000008,-1,-1
96,baseline,0.591840029,-1,-1
97,baseline,0.593087971,-1,-1
98,baseline,0.592159986,-1,-1
99,baseline,0.591744006,-1,-1
100,interference,2.24636793,-1,-1
101,interference,2.23270392,-1,-1
102,interference,2.23376012,-1,-1
103,interference,2.2335999,-1,-1
104,interference,2.22841597,-1,-1
105,interference,2.21616006,-1,-1
106,interference,2.22991991,-1,-1
107,interference,2.21593595,-1,-1
108,interference,2.21881604,-1,-1
109,interference,2.23193598,-1,-1
110,interference,2.2191999,-1,-1
111,interference,2.23868799,-1,-1
112,interference,2.21718407,-1,-1
113,interference,2.20160007,-1,-1
114,interference,2.23372793,-1,-1
115,interference,2.22617602,-1,-1
116,interference,2.21785593,-1,-1
117,interference,2.22595191,-1,-1
118,interference,2.23161602,-1,-1
119,interference,2.23232007,-1,-1
120,interference,2.21388793,-1,-1
121,interference,2.21414399,-1,-1
122,interference,2.21830392,-1,-1
123,interference,2.22591996,-1,-1
124,interference,2.22966409,-1,-1
125,interference,2.22003198,-1,-1
126,interference,2.25465608,-1,-1
127,interference,2.22441602,-1,-1
128,interference,2.25065589,-1,-1
129,interference,2.22214389,-1,-1
130,interference,2.22822404,-1,-1
131,interference,1.71260798,-1,-1
132,interference,1.46892798,-1,-1
133,interference,1.46352005,-1,-1
134,interference,1.46256006,-1,-1
135,interference,1.47382402,-1,-1
136,interference,1.46467197,-1,-1
137,interference,1.474944,-1,-1
138,interference,1.47472,-1,-1
139,interference,1.45932806,-1,-1
140,interference,1.47660804,-1,-1
141,interference,1.46764803,-1,-1
142,interference,1.46176004,-1,-1
143,interference,1.48057604,-1,-1
144,interference,1.47046399,-1,-1
145,interference,1.47257602,-1,-1
146,interference,1.45897603,-1,-1
147,interference,1.46636796,-1,-1
148,interference,1.45855999,-1,-1
149,interference,1.46307194,-1,-1
150,interference,1.46902394,-1,-1
151,interference,0.894176006,-1,-1
152,recovery,0.538623989,0,0.389120013
153,recovery,0.538016021,1,0.942080021
154,recovery,0.537952006,2,1.49299204
155,recovery,0.536319971,3,2.04355192
156,recovery,0.536319971,4,2.59222388
157,recovery,0.536544025,5,3.13961601
158,recovery,0.536575973,6,3.68844795
159,recovery,0.536575973,7,4.23731184
160,recovery,0.537087977,8,4.7877121
161,recovery,0.536512017,9,5.33708811
162,recovery,0.536863983,10,5.88566399
163,recovery,0.534752011,11,6.4346242
164,recovery,0.535488009,12,6.9827199
165,recovery,0.536575973,13,7.53049612
166,recovery,0.536607981,14,8.07936001
167,recovery,0.537343979,15,8.6295042
168,recovery,0.536575973,16,9.17913628
169,recovery,0.536544025,17,9.72803211
170,recovery,0.536575973,18,10.2768641
171,recovery,0.536800027,19,10.8272638
172,recovery,0.536159992,20,11.3764162
173,recovery,0.536607981,21,11.9254723
174,recovery,0.536736012,22,12.4756479
175,recovery,0.536575973,23,13.02528
176,recovery,0.544575989,24,13.5741444
177,recovery,0.536319971,25,14.1305285
178,recovery,0.536415994,26,14.6797438
179,recovery,0.535135984,27,15.2283201
180,recovery,0.53689599,28,15.7774715
181,recovery,0.536768019,29,16.3278713
182,recovery,0.538399994,30,16.8775673
183,recovery,0.536544025,31,17.4285126
184,recovery,0.537343979,32,17.9785919
185,recovery,0.537728012,33,18.5282555
186,recovery,0.535456002,34,19.0782394
187,recovery,0.535423994,35,19.6271362
188,recovery,0.537087977,36,20.1762238
189,recovery,0.536575973,37,20.7257919
190,recovery,0.536575973,38,21.2746239
191,recovery,0.53689599,39,21.8251209
192,recovery,0.536736012,40,22.3742409
193,recovery,0.53689599,41,22.9248962
194,recovery,0.536831975,42,23.4752636
195,recovery,0.536992013,43,24.0246086
196,recovery,0.536607981,44,24.5739517
197,recovery,0.536544025,45,25.1228485
198,recovery,0.536800027,46,25.6732483
199,recovery,0.536992013,47,26.2221756
200,recovery,0.536544025,48,26.7714882
201,recovery,0.537343979,49,27.3214397
202,recovery,0.536575973,50,27.8712311
203,recovery,0.536032021,51,28.4200954
204,recovery,0.536671996,52,28.9687042
205,recovery,0.536607981,53,29.5177917
206,recovery,0.536575973,54,30.0666885
207,recovery,0.537087977,55,30.6170883
208,recovery,0.536575973,56,31.1664639
209,recovery,0.536575973,57,31.7153282
210,recovery,0.536575973,58,32.2641907
211,recovery,0.536575973,59,32.8151054
212,recovery,0.535264015,60,33.3652802
213,recovery,0.53648001,61,33.9144325
214,recovery,0.537792027,62,34.4637451
215,recovery,0.536575973,63,35.0146561
216,recovery,0.538240016,64,35.5675201
217,recovery,0.536224008,65,36.1181107
218,recovery,0.538847983,66,36.6708488
219,recovery,0.536319971,67,37.222271
220,recovery,0.536575973,68,37.7712631
221,recovery,0.538303971,69,38.3201294
222,recovery,0.536575973,70,38.8710403
223,recovery,0.536607981,71,39.4199028
224,recovery,0.538591981,72,39.9708481
225,recovery,0.538335979,73,40.5278702
226,recovery,0.536288023,74,41.0783348
227,recovery,0.536639988,75,41.6276169
228,recovery,0.536544025,76,42.1765442
229,recovery,0.537792027,77,42.7253761
230,recovery,0.537984014,78,43.2742386
231,recovery,0.537119985,79,43.8246078
232,recovery,0.536256015,80,44.3738861
233,recovery,0.536512017,81,44.9228783
234,recovery,0.536575973,82,45.4717445
235,recovery,0.534879982,83,46.020256
236,recovery,0.537184,84,46.5688629
237,recovery,0.536831975,85,47.1180801
238,recovery,0.537599981,86,47.6671982
239,recovery,0.536607981,87,48.2160645
240,recovery,0.539359987,88,48.880928
241,recovery,0.544640005,89,49.4419823
242,recovery,0.538079977,90,50.0015678
243,recovery,0.536512017,91,50.5524483
244,recovery,0.536800027,92,51.1014709
245,recovery,0.536575973,93,51.6505585
246,recovery,0.536575973,94,52.1994247
247,recovery,0.537119985,95,52.7495041
248,recovery,0.536575973,96,53.2991982
249,recovery,0.54272002,97,53.8480644
250,recovery,0.536575973,98,54.4030724
251,recovery,0.536544025,99,54.9519691
