condition,n_trials,median_latency,median_p95,median_p99,median_gt1_1,median_gt1_2,max_max
control,10,1.0,1.11111104,1.11111104,0.175,0.0,1.90909088
interference,10,1.0,1.11111104,1.11111104,0.2,0.0,20.4444442
