resource,phase,n_runs,median,p25,p75,median_p95,median_p99,median_gt1_1,median_gt1_2,max_run_max
Compute,interference,5,2.6945913963729886,2.4659250010463216,2.697231933655139,3.2110546583366872,3.495023286352666,1.0,1.0,3.59400843136742
Compute,recovery,5,1.0005399442188367,1.000107932770343,1.0013787052465908,1.0364187615525509,1.0472145814295657,0.0,0.0,1.0587219797077898
L2,interference,7,1.7884533932717461,1.763432184459607,1.9124545552221437,2.2975793736522814,2.4245843005774055,1.0,1.0,2.82728851672018
L2,recovery,7,0.9991918170688553,0.9985579639439499,1.000067582445935,1.0364723314203372,1.048398809938473,0.0,0.0,1.0603448873295378
Memory,interference,25,0.9603281313719556,0.9602763358230534,0.9637305943301337,1.3690846631386784,1.7698312867978319,0.09,0.08641975308641975,1.8275862988629619
Memory,recovery,25,1.0,0.9999459236619265,1.0009453857286157,1.038125389942925,1.0470858564413572,0.0,0.0,1.3034060043390898
