bin,n_probes,median,p95,p99,gt1_2
0-100,82,1.0,1.33333333,1.9327777648999949,0.17073170731707318
100-250,126,1.0,1.2601010075,1.50757572,0.09523809523809523
250-500,203,1.0,1.33333333,1.55555552,0.09852216748768473
500-1000,409,1.0,1.33333333,1.5964444784000007,0.1198044009779951
1000-1500,414,1.0,1.2494444304999974,1.5411110718000005,0.08454106280193237
1500-2000,407,0.909090879,1.42222219,1.8755555225999996,0.07616707616707617
2000-3000,359,1.0,1.22222219,1.4315555098000003,0.10306406685236769
