metric,control_median,l2_median,difference_hl,rank_biserial,p_value,holm_p
median,0.9864864824999999,1.0,0.0,0.07000000000000006,0.8119161032612587,1.0
mean,1.0025541780125,1.0199114614275002,0.021827763817500068,0.1399999999999999,0.6231762238821174,1.0
p95,1.090540525,1.3191666757499991,0.2258484269999983,0.53,0.04859829448514705,0.3401880613960293
p99,1.217378477749999,1.5523232215999982,0.3175663361000004,0.47,0.08186862373064437,0.3401880613960293
gt1_1,0.05,0.2175,0.11499999999999999,0.52,0.05354193923094535,0.3401880613960293
gt1_2,0.015,0.11499999999999999,0.095,0.56,0.036063211239220815,0.2885056899137665
gt1_5,0.0025,0.015,0.01,0.5,0.05706981274576189,0.3401880613960293
max,1.460810765,2.43939392,0.37121216,0.18999999999999995,0.4959675729800952,1.0
