sample,phase,victim_latency_ms,recovery_index
0,baseline,0.502816021,-1
1,baseline,0.563199997,-1
2,baseline,0.590943992,-1
3,baseline,0.591871977,-1
4,baseline,0.589760005,-1
5,baseline,0.591615975,-1
6,baseline,0.58841598,-1
7,baseline,0.549888015,-1
8,baseline,0.610303998,-1
9,baseline,0.617471993,-1
10,baseline,0.590879977,-1
11,baseline,0.590592027,-1
12,baseline,0.590207994,-1
13,baseline,0.588800013,-1
14,baseline,0.590848029,-1
15,baseline,0.594944,-1
16,baseline,0.592800021,-1
17,baseline,0.58969599,-1
18,baseline,0.590848029,-1
19,baseline,0.592895985,-1
20,baseline,0.594944,-1
21,baseline,0.539647996,-1
22,baseline,0.614400029,-1
23,baseline,0.614400029,-1
24,baseline,0.593151987,-1
25,baseline,0.590848029,-1
26,baseline,0.587776005,-1
27,baseline,0.587679982,-1
28,baseline,0.592895985,-1
29,baseline,0.590848029,-1
30,baseline,0.58940798,-1
31,baseline,0.594944,-1
32,baseline,0.590848029,-1
33,baseline,0.592895985,-1
34,baseline,0.541696012,-1
35,baseline,0.613376021,-1
36,baseline,0.617407978,-1
37,baseline,0.591871977,-1
38,baseline,0.592895985,-1
39,baseline,0.591871977,-1
40,baseline,0.596095979,-1
41,baseline,0.592800021,-1
42,baseline,0.594784021,-1
43,baseline,0.592895985,-1
44,baseline,0.589119971,-1
45,baseline,0.589727998,-1
46,baseline,0.591871977,-1
47,baseline,0.593728006,-1
48,baseline,0.543775976,-1
49,baseline,0.603136003,-1
50,baseline,0.618496001,-1
51,baseline,0.591871977,-1
52,baseline,0.594944,-1
53,baseline,0.586943984,-1
54,baseline,0.591871977,-1
55,baseline,0.594911993,-1
56,baseline,0.592736006,-1
57,baseline,0.590911984,-1
58,baseline,0.591808021,-1
59,baseline,0.592768013,-1
60,baseline,0.593792021,-1
61,baseline,0.590848029,-1
62,baseline,0.616447985,-1
63,baseline,0.608255982,-1
64,baseline,0.591008008,-1
65,baseline,0.585695982,-1
66,baseline,0.598688006,-1
67,baseline,0.595968008,-1
68,baseline,0.593280017,-1
69,baseline,0.596800029,-1
70,baseline,0.594944,-1
71,baseline,0.597728014,-1
72,baseline,0.596863985,-1
73,baseline,0.599039972,-1
74,baseline,0.592895985,-1
75,baseline,0.590848029,-1
76,baseline,0.617471993,-1
77,baseline,0.615423977,-1
78,baseline,0.592895985,-1
79,baseline,0.592895985,-1
80,baseline,0.590848029,-1
81,baseline,0.590848029,-1
82,baseline,0.591871977,-1
83,baseline,0.591871977,-1
84,baseline,0.593919992,-1
85,baseline,0.594816029,-1
86,baseline,0.591552019,-1
87,baseline,0.587776005,-1
88,baseline,0.593056023,-1
89,baseline,0.595968008,-1
90,baseline,0.615423977,-1
91,baseline,0.60927999,-1
92,baseline,0.594016016,-1
93,baseline,0.590911984,-1
94,baseline,0.587584019,-1
95,baseline,0.592639983,-1
96,baseline,0.591615975,-1
97,baseline,0.590848029,-1
98,baseline,0.590943992,-1
99,baseline,0.592895985,-1
100,interference,0.644096017,-1
101,interference,0.569343984,-1
102,interference,0.571392,-1
103,interference,0.787455976,-1
104,interference,0.590848029,-1
105,interference,0.586751997,-1
106,interference,0.876543999,-1
107,interference,0.565248013,-1
108,recovery,0.584703982,0
109,recovery,0.593919992,1
110,recovery,0.595968008,2
111,recovery,0.595968008,3
112,recovery,0.593087971,4
113,recovery,0.593887985,5
114,recovery,0.53590399,6
115,recovery,0.539647996,7
116,recovery,0.616447985,8
117,recovery,0.613632023,9
118,recovery,0.592895985,10
119,recovery,0.591871977,11
120,recovery,0.589824021,12
121,recovery,0.591199994,13
122,recovery,0.592895985,14
123,recovery,0.594944,15
124,recovery,0.590528011,16
125,recovery,0.591871977,17
126,recovery,0.591871977,18
127,recovery,0.593919992,19
128,recovery,0.544767976,20
129,recovery,0.610303998,21
130,recovery,0.613376021,22
131,recovery,0.590848029,23
132,recovery,0.58572799,24
133,recovery,0.59167999,25
134,recovery,0.594944,26
135,recovery,0.594111979,27
136,recovery,0.591840029,28
137,recovery,0.593824029,29
138,recovery,0.596992016,30
139,recovery,0.591167986,31
140,recovery,0.593919992,32
141,recovery,0.544767976,33
142,recovery,0.620544016,34
143,recovery,0.613376021,35
144,recovery,0.586751997,36
145,recovery,0.593919992,37
146,recovery,0.593919992,38
147,recovery,0.589824021,39
148,recovery,0.593919992,40
149,recovery,0.584896028,41
150,recovery,0.593599975,42
151,recovery,0.592224002,43
152,recovery,0.588800013,44
153,recovery,0.589727998,45
154,recovery,0.590848029,46
155,recovery,0.537599981,47
156,recovery,0.599039972,48
157,recovery,0.614400029,49
158,recovery,0.59721601,50
159,recovery,0.590848029,51
160,recovery,0.595968008,52
161,recovery,0.589631975,53
162,recovery,0.598143995,54
163,recovery,0.592895985,55
164,recovery,0.592095971,56
165,recovery,0.593919992,57
166,recovery,0.594911993,58
167,recovery,0.592800021,59
168,recovery,0.583679974,60
169,recovery,0.618496001,61
170,recovery,0.611328006,62
171,recovery,0.59068799,63
172,recovery,0.594944,64
173,recovery,0.588800013,65
174,recovery,0.589824021,66
175,recovery,0.590848029,67
176,recovery,0.589824021,68
177,recovery,0.593919992,69
178,recovery,0.59366399,70
179,recovery,0.595968008,71
180,recovery,0.591488004,72
181,recovery,0.572416008,73
182,recovery,0.589824021,74
183,recovery,0.619520009,75
184,recovery,0.618496001,76
185,recovery,0.589824021,77
186,recovery,0.589600027,78
187,recovery,0.593728006,79
188,recovery,0.604160011,80
189,recovery,0.591871977,81
190,recovery,0.595744014,82
191,recovery,0.591871977,83
192,recovery,0.596992016,84
193,recovery,0.592895985,85
194,recovery,0.590623975,86
195,recovery,0.594944,87
196,recovery,0.612352014,88
197,recovery,0.617471993,89
198,recovery,0.593919992,90
199,recovery,0.58572799,91
200,recovery,0.591871977,92
201,recovery,0.586751997,93
202,recovery,0.589824021,94
203,recovery,0.596639991,95
204,recovery,0.590496004,96
205,recovery,0.588768005,97
206,recovery,0.592800021,98
207,recovery,0.594111979,99
