sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
28,recovery,0.544767976,28,18.455551147
29,recovery,0.588800013,29,19.011583328
30,recovery,0.613376021,30,19.612672806
31,recovery,0.593248010,31,20.234239578
32,recovery,0.593919992,32,20.833280563
33,recovery,0.593919992,33,21.432319641
34,recovery,0.592927992,34,22.031360626
35,recovery,0.592895985,35,22.630399704
36,recovery,0.590848029,36,23.229440689
37,recovery,0.589824021,37,23.825408936
38,recovery,0.589824021,38,24.420352936
39,recovery,0.594944000,39,25.015296936
40,recovery,0.600063980,40,25.615360260
41,recovery,0.547839999,41,26.647552490
42,recovery,0.609408021,42,27.204608917
43,recovery,0.613376021,43,27.820032120
44,recovery,0.588800013,44,28.438528061
45,recovery,0.595071971,45,29.032447815
46,recovery,0.588800013,46,29.632511139
47,recovery,0.593919992,47,30.226432800
48,recovery,0.592895985,48,30.826496124
49,recovery,0.599039972,49,31.425535202
50,recovery,0.594944000,50,32.029697418
51,recovery,0.593568027,51,32.629089355
52,recovery,0.592895985,52,33.227775574
53,recovery,0.592895985,53,33.825790405
54,recovery,0.571392000,54,34.569217682
55,recovery,0.606208026,55,35.280895233
56,recovery,0.613376021,56,35.894271851
57,recovery,0.611328006,57,36.518913269
58,recovery,0.587616026,58,37.134494781
59,recovery,0.587679982,59,37.727329254
60,recovery,0.593952000,60,38.320129395
61,recovery,0.593919992,61,38.919166565
62,recovery,0.595968008,62,39.520256042
63,recovery,0.584703982,63,40.121345520
64,recovery,0.595968008,64,40.711166382
65,recovery,0.596671999,65,41.311550140
66,recovery,0.590560019,66,41.912609100
67,recovery,0.595712006,67,42.507518768
68,recovery,0.594016016,68,43.268096924
69,recovery,0.608160019,69,43.867233276
70,recovery,0.615423977,70,44.482559204
71,recovery,0.587776005,71,45.104129791
72,recovery,0.594944000,72,45.697025299
73,recovery,0.591871977,73,46.297088623
74,recovery,0.591871977,74,46.894081116
75,recovery,0.589824021,75,47.492095947
76,recovery,0.594944000,76,48.089088440
77,recovery,0.590848029,77,48.689151764
78,recovery,0.592895985,78,49.285118103
79,recovery,0.593183994,79,49.883136749
80,recovery,0.590528011,80,50.481472015
81,recovery,0.594944000,81,51.077121735
82,recovery,0.598016024,82,51.837951660
83,recovery,0.623615980,83,52.441089630
84,recovery,0.612416029,84,53.080062866
85,recovery,0.596992016,85,53.698558807
86,recovery,0.591584027,86,54.300960541
87,recovery,0.586751997,87,54.898689270
