sample,phase,victim_latency_ms,recovery_index
0,baseline,0.602111995,-1
1,baseline,0.697344005,-1
2,baseline,0.669695973,-1
3,baseline,0.673759997,-1
4,baseline,0.670783997,-1
5,baseline,0.681984007,-1
6,baseline,0.610303998,-1
7,baseline,0.659456015,-1
8,baseline,0.677887976,-1
9,baseline,0.682175994,-1
10,baseline,0.672767997,-1
11,baseline,0.621568024,-1
12,baseline,0.700416028,-1
13,baseline,0.692224026,-1
14,baseline,0.67967999,-1
15,baseline,0.67584002,-1
16,baseline,0.682175994,-1
17,baseline,0.677887976,-1
18,baseline,0.671743989,-1
19,baseline,0.674528003,-1
20,baseline,0.68096,-1
21,baseline,0.684032023,-1
22,baseline,0.620544016,-1
23,baseline,0.69017601,-1
24,baseline,0.689152002,-1
25,baseline,0.677887976,-1
26,baseline,0.669695973,-1
27,baseline,0.674816012,-1
28,baseline,0.673792005,-1
29,baseline,0.678655982,-1
30,baseline,0.685311973,-1
31,baseline,0.676864028,-1
32,baseline,0.679935992,-1
33,baseline,0.677887976,-1
34,baseline,0.621568024,-1
35,baseline,0.701439977,-1
36,baseline,0.692224026,-1
37,baseline,0.678911984,-1
38,baseline,0.671743989,-1
39,baseline,0.67584002,-1
40,baseline,0.668672025,-1
41,baseline,0.678207994,-1
42,baseline,0.678911984,-1
43,baseline,0.677631974,-1
44,baseline,0.678911984,-1
45,baseline,0.687103987,-1
46,baseline,0.710655987,-1
47,baseline,0.69529599,-1
48,baseline,0.678911984,-1
49,baseline,0.673600018,-1
50,baseline,0.672735989,-1
51,baseline,0.677887976,-1
52,baseline,0.677887976,-1
53,baseline,0.674816012,-1
54,baseline,0.67782402,-1
55,baseline,0.67484802,-1
56,baseline,0.669695973,-1
57,baseline,0.679935992,-1
58,baseline,0.712704003,-1
59,baseline,0.687103987,-1
60,baseline,0.67584002,-1
61,baseline,0.679935992,-1
62,baseline,0.673792005,-1
63,baseline,0.677887976,-1
64,baseline,0.676864028,-1
65,baseline,0.673792005,-1
66,baseline,0.674816012,-1
67,baseline,0.684032023,-1
68,baseline,0.677887976,-1
69,baseline,0.69017601,-1
70,baseline,0.708607972,-1
71,baseline,0.69017601,-1
72,baseline,0.67584002,-1
73,baseline,0.676864028,-1
74,baseline,0.67584002,-1
75,baseline,0.670719981,-1
76,baseline,0.680191994,-1
77,baseline,0.674495995,-1
78,baseline,0.676032007,-1
79,baseline,0.681984007,-1
80,baseline,0.674816012,-1
81,baseline,0.694271982,-1
82,baseline,0.706560016,-1
83,baseline,0.692224026,-1
84,baseline,0.67683202,-1
85,baseline,0.679935992,-1
86,baseline,0.68096,-1
87,baseline,0.672767997,-1
88,baseline,0.674816012,-1
89,baseline,0.680000007,-1
90,baseline,0.674816012,-1
91,baseline,0.680607975,-1
92,baseline,0.67584002,-1
93,baseline,0.684032023,-1
94,baseline,0.705536008,-1
95,baseline,0.69529599,-1
96,baseline,0.67670399,-1
97,baseline,0.676864028,-1
98,baseline,0.672767997,-1
99,baseline,0.676735997,-1
100,interference,0.722944021,-1
101,interference,0.654335976,-1
102,interference,0.65228802,-1
103,interference,0.661503971,-1
104,interference,0.665600002,-1
105,interference,0.65228802,-1
106,interference,1.15302396,-1
107,interference,0.676864028,-1
108,interference,0.665600002,-1
109,interference,0.655359983,-1
110,interference,0.648191988,-1
111,interference,0.65228802,-1
112,interference,0.653312027,-1
113,interference,0.654335976,-1
114,interference,0.656383991,-1
115,interference,0.659456015,-1
116,interference,0.653312027,-1
117,interference,0.655359983,-1
118,interference,1.19398403,-1
119,interference,0.670719981,-1
120,interference,0.677887976,-1
121,interference,0.653312027,-1
122,interference,0.654335976,-1
123,interference,0.654335976,-1
124,interference,0.664575994,-1
125,interference,0.650240004,-1
126,interference,0.655359983,-1
127,interference,0.651264012,-1
128,interference,1.19910395,-1
129,interference,0.671743989,-1
130,interference,0.674816012,-1
131,interference,0.655359983,-1
132,interference,0.649215996,-1
133,interference,0.65228802,-1
134,interference,0.655359983,-1
135,interference,0.620671988,-1
136,recovery,0.657375991,0
137,recovery,0.685055971,1
138,recovery,0.66988802,2
139,recovery,0.672767997,3
140,recovery,0.619520009,4
141,recovery,0.642048001,5
142,recovery,0.684032023,6
143,recovery,0.680800021,7
144,recovery,0.677887976,8
145,recovery,0.672896028,9
146,recovery,0.677887976,10
147,recovery,0.679935992,11
148,recovery,0.673792005,12
149,recovery,0.676864028,13
150,recovery,0.678911984,14
151,recovery,0.618496001,15
152,recovery,0.698368013,16
153,recovery,0.696384013,17
154,recovery,0.678911984,18
155,recovery,0.672064006,19
156,recovery,0.672927976,20
157,recovery,0.677536011,21
158,recovery,0.673792005,22
159,recovery,0.673471987,23
160,recovery,0.676864028,24
161,recovery,0.672767997,25
162,recovery,0.672544003,26
163,recovery,0.617471993,27
164,recovery,0.69529599,28
165,recovery,0.698368013,29
166,recovery,0.676864028,30
167,recovery,0.673792005,31
168,recovery,0.678911984,32
169,recovery,0.68096,33
170,recovery,0.674816012,34
171,recovery,0.68096,35
172,recovery,0.674624026,36
173,recovery,0.676864028,37
174,recovery,0.682752013,38
175,recovery,0.621568024,39
176,recovery,0.697344005,40
177,recovery,0.694271982,41
178,recovery,0.676864028,42
179,recovery,0.673792005,43
180,recovery,0.676864028,44
181,recovery,0.68096,45
182,recovery,0.67584002,46
183,recovery,0.68096,47
184,recovery,0.677887976,48
185,recovery,0.672896028,49
186,recovery,0.689152002,50
187,recovery,0.710655987,51
188,recovery,0.687103987,52
189,recovery,0.677887976,53
190,recovery,0.674624026,54
191,recovery,0.672767997,55
192,recovery,0.675040007,56
193,recovery,0.676864028,57
194,recovery,0.675616026,58
195,recovery,0.675104022,59
196,recovery,0.679935992,60
197,recovery,0.678048015,61
198,recovery,0.692224026,62
199,recovery,0.713728011,63
200,recovery,0.688127995,64
201,recovery,0.676512003,65
202,recovery,0.674816012,66
203,recovery,0.67584002,67
204,recovery,0.678911984,68
205,recovery,0.677056015,69
206,recovery,0.687103987,70
207,recovery,0.674816012,71
208,recovery,0.68422401,72
209,recovery,0.672767997,73
210,recovery,0.685184002,74
211,recovery,0.710655987,75
212,recovery,0.697344005,76
213,recovery,0.672767997,77
214,recovery,0.675808012,78
215,recovery,0.679135978,79
216,recovery,0.676864028,80
217,recovery,0.674816012,81
218,recovery,0.678911984,82
219,recovery,0.677887976,83
220,recovery,0.677887976,84
221,recovery,0.663551986,85
222,recovery,0.69017601,86
223,recovery,0.707584023,87
224,recovery,0.685055971,88
225,recovery,0.675647974,89
226,recovery,0.678975999,90
227,recovery,0.675743997,91
228,recovery,0.674816012,92
229,recovery,0.68096,93
230,recovery,0.674719989,94
231,recovery,0.674816012,95
232,recovery,0.676768005,96
233,recovery,0.689152002,97
234,recovery,0.708607972,98
235,recovery,0.69529599,99
