sample,phase,victim_latency_ms,recovery_index
0,baseline,0.543744028,-1
1,baseline,0.616447985,-1
2,baseline,0.594944,-1
3,baseline,0.588800013,-1
4,baseline,0.59167999,-1
5,baseline,0.594784021,-1
6,baseline,0.588800013,-1
7,baseline,0.535552025,-1
8,baseline,0.574176013,-1
9,baseline,0.592224002,-1
10,baseline,0.591647983,-1
11,baseline,0.593919992,-1
12,baseline,0.591744006,-1
13,baseline,0.540672004,-1
14,baseline,0.614400029,-1
15,baseline,0.614400029,-1
16,baseline,0.588927984,-1
17,baseline,0.593919992,-1
18,baseline,0.591871977,-1
19,baseline,0.588800013,-1
20,baseline,0.592895985,-1
21,baseline,0.586751997,-1
22,baseline,0.594976008,-1
23,baseline,0.595839977,-1
24,baseline,0.591871977,-1
25,baseline,0.596992016,-1
26,baseline,0.594944,-1
27,baseline,0.54272002,-1
28,baseline,0.593919992,-1
29,baseline,0.615423977,-1
30,baseline,0.590848029,-1
31,baseline,0.596992016,-1
32,baseline,0.586751997,-1
33,baseline,0.589984,-1
34,baseline,0.590848029,-1
35,baseline,0.590528011,-1
36,baseline,0.592832029,-1
37,baseline,0.588639975,-1
38,baseline,0.593919992,-1
39,baseline,0.596671999,-1
40,baseline,0.54272002,-1
41,baseline,0.613376021,-1
42,baseline,0.60927999,-1
43,baseline,0.590848029,-1
44,baseline,0.589856029,-1
45,baseline,0.589824021,-1
46,baseline,0.592895985,-1
47,baseline,0.594847977,-1
48,baseline,0.595040023,-1
49,baseline,0.591744006,-1
50,baseline,0.595968008,-1
51,baseline,0.590848029,-1
52,baseline,0.586655974,-1
53,baseline,0.602111995,-1
54,baseline,0.616447985,-1
55,baseline,0.607231975,-1
56,baseline,0.592895985,-1
57,baseline,0.591968,-1
58,baseline,0.594944,-1
59,baseline,0.588800013,-1
60,baseline,0.592895985,-1
61,baseline,0.590848029,-1
62,baseline,0.588479996,-1
63,baseline,0.592895985,-1
64,baseline,0.589824021,-1
65,baseline,0.589824021,-1
66,baseline,0.590752006,-1
67,baseline,0.60332799,-1
68,baseline,0.623456001,-1
69,baseline,0.611487985,-1
70,baseline,0.592895985,-1
71,baseline,0.591968,-1
72,baseline,0.587487996,-1
73,baseline,0.60006398,-1
74,baseline,0.596831977,-1
75,baseline,0.595968008,-1
76,baseline,0.592895985,-1
77,baseline,0.591040015,-1
78,baseline,0.589663982,-1
79,baseline,0.591552019,-1
80,baseline,0.60006398,-1
81,baseline,0.617407978,-1
82,baseline,0.60927999,-1
83,baseline,0.596895993,-1
84,baseline,0.591871977,-1
85,baseline,0.598016024,-1
86,baseline,0.593855977,-1
87,baseline,0.589919984,-1
88,baseline,0.592607975,-1
89,baseline,0.594944,-1
90,baseline,0.597087979,-1
91,baseline,0.589824021,-1
92,baseline,0.594944,-1
93,baseline,0.589856029,-1
94,baseline,0.601087987,-1
95,baseline,0.617471993,-1
96,baseline,0.618496001,-1
97,baseline,0.591968,-1
98,baseline,0.588735998,-1
99,baseline,0.590848029,-1
100,interference,0.636928022,-1
101,interference,0.56627202,-1
102,interference,0.565248013,-1
103,interference,0.568319976,-1
104,interference,0.570367992,-1
105,interference,0.569343984,-1
106,interference,0.568319976,-1
107,interference,0.994304001,-1
108,interference,0.591871977,-1
109,interference,0.590848029,-1
110,interference,0.567296028,-1
111,interference,0.569343984,-1
112,interference,0.567296028,-1
113,interference,0.567296028,-1
114,interference,0.569343984,-1
115,interference,0.569343984,-1
116,interference,0.572416008,-1
117,interference,0.569343984,-1
118,interference,0.568319976,-1
119,interference,0.567296028,-1
120,interference,0.567296028,-1
121,interference,1.05574405,-1
122,interference,0.586751997,-1
123,interference,0.587776005,-1
124,interference,0.574464023,-1
125,interference,0.569343984,-1
126,interference,0.570367992,-1
127,interference,0.56627202,-1
128,interference,0.569343984,-1
129,interference,0.569343984,-1
130,interference,0.568319976,-1
131,interference,0.569343984,-1
132,interference,0.570367992,-1
133,interference,0.567296028,-1
134,interference,0.571392,-1
135,interference,1.01990402,-1
136,interference,0.598016024,-1
137,interference,0.588800013,-1
138,interference,0.589824021,-1
139,interference,0.567296028,-1
140,interference,0.567296028,-1
141,interference,0.570367992,-1
142,interference,0.569343984,-1
143,interference,0.567296028,-1
144,interference,0.567296028,-1
145,interference,0.567296028,-1
146,interference,0.569343984,-1
147,interference,0.569343984,-1
148,interference,0.568319976,-1
149,interference,0.572416008,-1
150,interference,1.05267203,-1
151,interference,0.58572799,-1
152,interference,0.593919992,-1
153,interference,0.577535987,-1
154,interference,0.567296028,-1
155,interference,0.568319976,-1
156,interference,0.567296028,-1
157,interference,0.568319976,-1
158,interference,0.569343984,-1
159,interference,0.568319976,-1
160,interference,0.568319976,-1
161,interference,0.569343984,-1
162,interference,0.567296028,-1
163,interference,0.568319976,-1
164,interference,0.792576015,-1
165,interference,0.58060801,-1
166,interference,0.594944,-1
167,interference,0.594944,-1
168,interference,0.570367992,-1
169,interference,0.567296028,-1
170,interference,0.568319976,-1
171,interference,0.568319976,-1
172,interference,0.568319976,-1
173,interference,0.570367992,-1
174,interference,0.568319976,-1
175,interference,0.800768018,-1
176,interference,0.590848029,-1
177,interference,0.591871977,-1
178,interference,0.575487971,-1
179,interference,0.568319976,-1
180,interference,0.569343984,-1
181,interference,0.567296028,-1
182,interference,0.546815991,-1
183,recovery,0.584671974,0
184,recovery,0.591647983,1
