sample,phase,victim_latency_ms,recovery_index
0,baseline,0.537599981,-1
1,baseline,0.605184019,-1
2,baseline,0.596992016,-1
3,baseline,0.592895985,-1
4,baseline,0.593919992,-1
5,baseline,0.590848029,-1
6,baseline,0.593792021,-1
7,baseline,0.535552025,-1
8,baseline,0.586751997,-1
9,baseline,0.591871977,-1
10,baseline,0.614400029,-1
11,baseline,0.588639975,-1
12,baseline,0.539647996,-1
13,baseline,0.598016024,-1
14,baseline,0.62361598,-1
15,baseline,0.588800013,-1
16,baseline,0.598944008,-1
17,baseline,0.589824021,-1
18,baseline,0.590848029,-1
19,baseline,0.592895985,-1
20,baseline,0.588639975,-1
21,baseline,0.592736006,-1
22,baseline,0.586751997,-1
23,baseline,0.591776013,-1
24,baseline,0.587776005,-1
25,baseline,0.589824021,-1
26,baseline,0.538623989,-1
27,baseline,0.610303998,-1
28,baseline,0.614400029,-1
29,baseline,0.589600027,-1
30,baseline,0.589824021,-1
31,baseline,0.589568019,-1
32,baseline,0.593919992,-1
33,baseline,0.593919992,-1
34,baseline,0.594976008,-1
35,baseline,0.599039972,-1
36,baseline,0.587647974,-1
37,baseline,0.591808021,-1
38,baseline,0.588479996,-1
39,baseline,0.544767976,-1
40,baseline,0.598016024,-1
41,baseline,0.610303998,-1
42,baseline,0.591871977,-1
43,baseline,0.595968008,-1
44,baseline,0.598016024,-1
45,baseline,0.591871977,-1
46,baseline,0.598143995,-1
47,baseline,0.590528011,-1
48,baseline,0.590719998,-1
49,baseline,0.590848029,-1
50,baseline,0.589760005,-1
51,baseline,0.590848029,-1
52,baseline,0.592895985,-1
53,baseline,0.612223983,-1
54,baseline,0.611328006,-1
55,baseline,0.60006398,-1
56,baseline,0.593919992,-1
57,baseline,0.594944,-1
58,baseline,0.588800013,-1
59,baseline,0.592895985,-1
60,baseline,0.588927984,-1
61,baseline,0.593919992,-1
62,baseline,0.594816029,-1
63,baseline,0.591871977,-1
64,baseline,0.593728006,-1
65,baseline,0.589824021,-1
66,baseline,0.603136003,-1
67,baseline,0.618496001,-1
68,baseline,0.614400029,-1
69,baseline,0.595968008,-1
70,baseline,0.590911984,-1
71,baseline,0.594944,-1
72,baseline,0.591871977,-1
73,baseline,0.596831977,-1
74,baseline,0.592992008,-1
75,baseline,0.602111995,-1
76,baseline,0.591808021,-1
77,baseline,0.589024007,-1
78,baseline,0.591968,-1
79,baseline,0.593919992,-1
80,baseline,0.617471993,-1
81,baseline,0.611328006,-1
82,baseline,0.588639975,-1
83,baseline,0.595647991,-1
84,baseline,0.594720006,-1
85,baseline,0.588800013,-1
86,baseline,0.596192002,-1
87,baseline,0.592576027,-1
88,baseline,0.599871993,-1
89,baseline,0.584703982,-1
90,baseline,0.592895985,-1
91,baseline,0.592895985,-1
92,baseline,0.591808021,-1
93,baseline,0.587776005,-1
94,baseline,0.619520009,-1
95,baseline,0.612352014,-1
96,baseline,0.584959984,-1
97,baseline,0.595936,-1
98,baseline,0.591776013,-1
99,baseline,0.595871985,-1
100,interference,0.635904014,-1
101,interference,0.567296028,-1
102,interference,0.567296028,-1
103,interference,0.568319976,-1
104,interference,0.567296028,-1
105,interference,0.569343984,-1
106,interference,0.568319976,-1
107,interference,0.995328009,-1
108,interference,0.590848029,-1
109,interference,0.598016024,-1
110,interference,0.569343984,-1
111,interference,0.56627202,-1
112,interference,0.569343984,-1
113,interference,0.569343984,-1
114,interference,0.568319976,-1
115,interference,0.567296028,-1
116,interference,0.567296028,-1
117,interference,0.568319976,-1
118,interference,0.569343984,-1
119,interference,0.569343984,-1
120,interference,0.569343984,-1
121,interference,1.05983996,-1
122,interference,0.584703982,-1
123,interference,0.595968008,-1
124,interference,0.582656026,-1
125,interference,0.569343984,-1
126,interference,0.570367992,-1
127,interference,0.568319976,-1
128,interference,0.569343984,-1
129,interference,0.565248013,-1
130,interference,0.569343984,-1
131,interference,0.568319976,-1
132,interference,0.568319976,-1
133,interference,0.568319976,-1
134,interference,0.56627202,-1
135,interference,1.03833604,-1
136,interference,0.583679974,-1
137,interference,0.599039972,-1
138,interference,0.586751997,-1
139,interference,0.571392,-1
140,interference,0.547839999,-1
141,recovery,0.58060801,0
142,recovery,0.591871977,1
143,recovery,0.594687998,2
144,recovery,0.591552019,3
145,recovery,0.598016024,4
146,recovery,0.589824021,5
147,recovery,0.538623989,6
148,recovery,0.599807978,7
