sample,phase,victim_latency_us,time_since_interference_end_us
173,recovery,3.07200011,371.711999
174,recovery,3.07200011,376.832008
175,recovery,4.09599999,380.92801
176,recovery,3.07200011,386.047989
177,recovery,3.10399989,391.167998
178,recovery,4.09599999,395.264
179,recovery,4.09599999,400.384009
180,recovery,3.07200011,405.503988
181,recovery,3.10399989,410.623997
182,recovery,3.07200011,415.744007
183,recovery,4.09599999,419.840008
184,recovery,3.07200011,424.959987
185,recovery,3.07200011,430.079997
186,recovery,4.09599999,434.175998
187,recovery,4.09599999,439.296007
188,recovery,3.07200011,444.415987
189,recovery,4.09599999,448.511988
190,recovery,4.09599999,453.631997
191,recovery,3.29599995,458.752006
192,recovery,3.07200011,463.871986
193,recovery,4.09599999,467.967987
194,recovery,4.09599999,473.087996
195,recovery,3.16799991,478.208005
196,recovery,3.07200011,483.328015
197,recovery,4.09599999,487.423986
198,recovery,4.09599999,492.543995
199,recovery,3.1359999,497.664005
