sample,phase,victim_latency_ms,recovery_index
0,baseline,0.599039972,-1
1,baseline,0.660480022,-1
2,baseline,0.673792005,-1
3,baseline,0.674816012,-1
4,baseline,0.674816012,-1
5,baseline,0.676864028,-1
6,baseline,0.607231975,-1
7,baseline,0.660480022,-1
8,baseline,0.676064014,-1
9,baseline,0.676576018,-1
10,baseline,0.671743989,-1
11,baseline,0.614400029,-1
12,baseline,0.696319997,-1
13,baseline,0.700416028,-1
14,baseline,0.676800013,-1
15,baseline,0.676864028,-1
16,baseline,0.67584002,-1
17,baseline,0.677887976,-1
18,baseline,0.672544003,-1
19,baseline,0.676864028,-1
20,baseline,0.676864028,-1
21,baseline,0.673600018,-1
22,baseline,0.62361598,-1
23,baseline,0.701439977,-1
24,baseline,0.689152002,-1
25,baseline,0.671743989,-1
26,baseline,0.675711989,-1
27,baseline,0.677600026,-1
28,baseline,0.677983999,-1
29,baseline,0.677631974,-1
30,baseline,0.690880001,-1
31,baseline,0.677887976,-1
32,baseline,0.677887976,-1
33,baseline,0.672767997,-1
34,baseline,0.622591972,-1
35,baseline,0.709631979,-1
36,baseline,0.689055979,-1
37,baseline,0.679711998,-1
38,baseline,0.675903976,-1
39,baseline,0.679776013,-1
40,baseline,0.676864028,-1
41,baseline,0.673759997,-1
42,baseline,0.686079979,-1
43,baseline,0.67584002,-1
44,baseline,0.679935992,-1
45,baseline,0.662527978,-1
46,baseline,0.709631979,-1
47,baseline,0.714496017,-1
48,baseline,0.691200018,-1
49,baseline,0.678911984,-1
50,baseline,0.680095971,-1
51,baseline,0.678719997,-1
52,baseline,0.685952008,-1
53,baseline,0.675040007,-1
54,baseline,0.67356801,-1
55,baseline,0.683839977,-1
56,baseline,0.676064014,-1
57,baseline,0.685119987,-1
58,baseline,0.715776026,-1
59,baseline,0.686335981,-1
60,baseline,0.675935984,-1
61,baseline,0.676864028,-1
62,baseline,0.67414403,-1
63,baseline,0.675007999,-1
64,baseline,0.67584002,-1
65,baseline,0.677536011,-1
66,baseline,0.674816012,-1
67,baseline,0.672447979,-1
68,baseline,0.695392013,-1
69,baseline,0.684032023,-1
70,baseline,0.713728011,-1
71,baseline,0.697376013,-1
