sample,phase,victim_latency_us,time_since_interference_end_us
175,recovery,9.21600033,878.592014
176,recovery,9.21600033,888.831973
177,recovery,9.21600033,900.095999
178,recovery,9.21600033,910.336018
179,recovery,9.21600033,920.575976
180,recovery,9.21600033,931.840003
181,recovery,9.21600033,942.080021
182,recovery,9.21600033,952.31998
183,recovery,9.21600033,963.584006
184,recovery,9.21600033,973.824024
185,recovery,9.21600033,984.063983
186,recovery,9.21600033,995.328009
187,recovery,9.21600033,1005.56803
188,recovery,9.53599997,1015.80799
189,recovery,9.21600033,1027.07195
190,recovery,9.21600033,1037.31203
191,recovery,9.21600033,1047.55199
192,recovery,9.21600033,1058.81596
193,recovery,9.21600033,1069.05603
194,recovery,9.21600033,1079.29599
195,recovery,9.21600033,1090.55996
196,recovery,9.21600033,1100.80004
197,recovery,9.21600033,1111.04
198,recovery,10.2399997,1121.27995
199,recovery,9.21600033,1132.54404
