sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,9.21600033,-1
1,baseline,15.3599996,-1
2,baseline,13.3119998,-1
3,baseline,14.3360002,-1
4,baseline,14.3360002,-1
5,baseline,15.3599996,-1
6,baseline,10.2399997,-1
7,baseline,10.2399997,-1
8,baseline,9.21600033,-1
9,baseline,10.2399997,-1
10,baseline,11.2640001,-1
11,baseline,12.2880004,-1
12,baseline,13.3119998,-1
13,baseline,17.4080003,-1
14,baseline,14.3360002,-1
15,baseline,12.2880004,-1
16,baseline,10.2399997,-1
17,baseline,32.7679999,-1
18,baseline,9.31200013,-1
19,baseline,10.2399997,-1
20,baseline,11.2640001,-1
21,baseline,15.3599996,-1
22,baseline,14.3360002,-1
23,baseline,10.2399997,-1
24,baseline,10.2399997,-1
25,baseline,10.2399997,-1
26,baseline,10.2399997,-1
27,baseline,10.2399997,-1
28,baseline,14.3360002,-1
29,baseline,14.3360002,-1
30,baseline,13.3119998,-1
31,baseline,12.2880004,-1
32,baseline,13.3119998,-1
33,baseline,11.2640001,-1
34,baseline,9.21600033,-1
35,baseline,11.2640001,-1
36,baseline,14.3360002,-1
37,baseline,16.384,-1
38,baseline,13.3119998,-1
39,baseline,14.3360002,-1
40,baseline,10.2399997,-1
41,baseline,10.2399997,-1
42,baseline,11.2640001,-1
43,baseline,12.2880004,-1
44,baseline,13.3119998,-1
45,baseline,13.3119998,-1
46,baseline,13.3119998,-1
47,baseline,10.2399997,-1
48,baseline,9.21600033,-1
49,baseline,10.2399997,-1
50,baseline,11.2640001,-1
51,baseline,14.3360002,-1
52,baseline,13.3119998,-1
53,baseline,11.2640001,-1
54,baseline,12.2880004,-1
55,baseline,10.2399997,-1
56,baseline,9.47200041,-1
57,baseline,9.21600033,-1
58,baseline,12.2880004,-1
59,baseline,14.3360002,-1
60,baseline,13.3119998,-1
61,baseline,17.4080003,-1
62,baseline,14.3360002,-1
63,baseline,10.2399997,-1
64,baseline,9.21600033,-1
65,baseline,12.2880004,-1
66,baseline,11.2640001,-1
67,baseline,14.3360002,-1
68,baseline,15.3599996,-1
69,baseline,13.3119998,-1
70,baseline,11.2640001,-1
71,baseline,10.2399997,-1
72,baseline,10.2399997,-1
73,baseline,11.2640001,-1
74,baseline,11.2640001,-1
75,baseline,11.2640001,-1
76,baseline,10.2399997,-1
77,baseline,10.2399997,-1
78,baseline,9.21600033,-1
79,baseline,9.21600033,-1
80,baseline,9.21600033,-1
81,baseline,9.21600033,-1
82,baseline,10.2399997,-1
83,baseline,10.2399997,-1
84,baseline,9.21600033,-1
85,baseline,9.21600033,-1
86,baseline,9.21600033,-1
87,baseline,10.2399997,-1
88,baseline,9.21600033,-1
89,baseline,9.21600033,-1
90,baseline,9.21600033,-1
91,baseline,9.21600033,-1
92,baseline,9.21600033,-1
93,baseline,9.21600033,-1
94,baseline,9.21600033,-1
95,baseline,9.21600033,-1
96,baseline,9.21600033,-1
97,baseline,9.21600033,-1
98,baseline,9.21600033,-1
99,baseline,9.21600033,-1
100,recovery,11.2640001,4.09599999
101,recovery,11.2640001,17.4080003
102,recovery,10.2399997,31.7439996
103,recovery,11.2640001,45.0560004
104,recovery,10.2399997,58.3680011
105,recovery,9.24799964,69.6320012
106,recovery,9.21600033,80.8959976
107,recovery,11.2640001,92.1600014
108,recovery,10.2399997,105.471998
109,recovery,10.2399997,118.784003
110,recovery,10.2399997,131.072
111,recovery,10.2399997,143.360004
112,recovery,10.2399997,156.672001
113,recovery,10.2399997,168.960005
114,recovery,10.2399997,180.224001
115,recovery,11.2640001,191.487998
116,recovery,11.2640001,204.799995
117,recovery,11.2640001,218.112007
118,recovery,10.2399997,231.424004
119,recovery,10.2399997,243.711993
120,recovery,9.21600033,256.000012
121,recovery,10.2399997,268.287987
122,recovery,10.2399997,281.599998
123,recovery,9.21600033,292.863995
124,recovery,9.21600033,304.127991
125,recovery,9.21600033,315.391988
126,recovery,11.2640001,327.679992
127,recovery,11.2640001,343.039989
128,recovery,11.2640001,357.376009
129,recovery,13.3119998,373.760015
130,recovery,11.2640001,393.216014
131,recovery,10.2399997,405.503988
132,recovery,9.21600033,416.768014
133,recovery,9.44000017,428.032011
134,recovery,10.2399997,439.296007
135,recovery,11.2640001,451.584011
136,recovery,11.2640001,464.895993
137,recovery,12.2880004,481.279999
138,recovery,11.2640001,497.664005
139,recovery,11.2640001,513.023973
140,recovery,9.21600033,526.336014
141,recovery,9.21600033,536.575973
142,recovery,9.21600033,547.839999
143,recovery,11.2640001,558.080018
144,recovery,11.2640001,572.416008
145,recovery,14.3360002,589.824021
146,recovery,14.3360002,609.27999
147,recovery,12.2880004,629.760027
148,recovery,11.2640001,644.096017
149,recovery,9.21600033,657.407999
150,recovery,9.21600033,668.672025
151,recovery,14.3360002,679.935992
152,recovery,13.3119998,700.416028
153,recovery,13.3119998,719.871998
154,recovery,12.2880004,739.328027
155,recovery,13.3119998,758.783996
156,recovery,10.2399997,775.168002
157,recovery,11.2640001,786.432028
158,recovery,12.2880004,798.720002
159,recovery,13.3119998,815.104008
160,recovery,13.3119998,835.583985
161,recovery,14.3360002,854.016006
162,recovery,13.3119998,873.471975
163,recovery,11.2640001,890.879989
164,recovery,9.21600033,903.168023
165,recovery,10.2399997,914.431989
166,recovery,10.2399997,926.720023
167,recovery,13.3119998,942.080021
168,recovery,14.3360002,961.53599
169,recovery,13.3119998,982.016027
170,recovery,10.2399997,998.399973
171,recovery,10.2399997,1009.66406
172,recovery,9.24799964,1020.92803
173,recovery,10.2399997,1032.19199
174,recovery,12.2880004,1044.47997
175,recovery,16.384,1062.91199
176,recovery,13.3119998,1083.39202
177,recovery,11.2640001,1101.82405
178,recovery,11.2640001,1115.13603
179,recovery,10.2399997,1127.424
180,recovery,9.21600033,1139.71198
181,recovery,11.2640001,1149.95205
182,recovery,13.3119998,1165.31205
183,recovery,14.3360002,1182.71995
184,recovery,12.2880004,1204.22399
185,recovery,10.2399997,1219.58399
186,recovery,10.2399997,1230.84795
187,recovery,9.21600033,1243.13605
188,recovery,9.21600033,1254.40001
189,recovery,9.21600033,1265.66398
190,recovery,9.21600033,1276.92795
191,recovery,9.21600033,1288.19203
192,recovery,10.2399997,1298.43199
193,recovery,9.21600033,1309.69596
194,recovery,9.21600033,1319.93604
195,recovery,9.21600033,1331.2
196,recovery,9.21600033,1341.43996
197,recovery,9.21600033,1351.68004
198,recovery,9.21600033,1362.94401
199,recovery,9.21600033,1373.18397
