sample,phase,victim_latency_ms,recovery_index
0,baseline,0.527487993,-1
1,baseline,0.571168005,-1
2,baseline,0.582656026,-1
3,baseline,0.593792021,-1
4,baseline,0.59523201,-1
5,baseline,0.590848029,-1
6,baseline,0.591903985,-1
7,baseline,0.531455994,-1
8,baseline,0.567296028,-1
9,baseline,0.608255982,-1
10,baseline,0.616447985,-1
11,baseline,0.602111995,-1
12,baseline,0.591615975,-1
13,baseline,0.588800013,-1
14,baseline,0.593919992,-1
15,baseline,0.592895985,-1
16,baseline,0.587776005,-1
17,baseline,0.592895985,-1
18,baseline,0.595968008,-1
19,baseline,0.594623983,-1
20,baseline,0.584703982,-1
21,baseline,0.543744028,-1
22,baseline,0.612352014,-1
23,baseline,0.613376021,-1
24,baseline,0.595968008,-1
25,baseline,0.595712006,-1
26,baseline,0.594944,-1
27,baseline,0.591744006,-1
28,baseline,0.594944,-1
29,baseline,0.594816029,-1
30,baseline,0.593919992,-1
31,baseline,0.594784021,-1
32,baseline,0.594944,-1
33,baseline,0.590879977,-1
34,baseline,0.592576027,-1
35,baseline,0.538623989,-1
36,baseline,0.60927999,-1
37,baseline,0.617471993,-1
38,baseline,0.588800013,-1
39,baseline,0.592703998,-1
40,baseline,0.592895985,-1
41,baseline,0.590528011,-1
42,baseline,0.591744006,-1
43,baseline,0.590848029,-1
44,baseline,0.589824021,-1
45,baseline,0.594623983,-1
46,baseline,0.590848029,-1
47,baseline,0.54272002,-1
48,baseline,0.601087987,-1
49,baseline,0.60927999,-1
50,baseline,0.603136003,-1
51,baseline,0.589824021,-1
52,baseline,0.593855977,-1
53,baseline,0.596992016,-1
54,baseline,0.591871977,-1
55,baseline,0.588735998,-1
56,baseline,0.592895985,-1
57,baseline,0.594944,-1
58,baseline,0.594944,-1
59,baseline,0.593984008,-1
60,baseline,0.601087987,-1
61,baseline,0.617471993,-1
62,baseline,0.614400029,-1
63,baseline,0.594944,-1
64,baseline,0.587776005,-1
65,baseline,0.590848029,-1
66,baseline,0.591871977,-1
67,baseline,0.590848029,-1
68,baseline,0.591871977,-1
69,baseline,0.590848029,-1
70,baseline,0.593919992,-1
71,baseline,0.590848029,-1
72,baseline,0.591776013,-1
73,baseline,0.589824021,-1
74,baseline,0.602111995,-1
75,baseline,0.615423977,-1
76,baseline,0.620544016,-1
77,baseline,0.594944,-1
78,baseline,0.588800013,-1
79,baseline,0.594944,-1
80,baseline,0.590848029,-1
81,baseline,0.591871977,-1
82,baseline,0.598016024,-1
83,baseline,0.593056023,-1
84,baseline,0.59296,-1
85,baseline,0.593919992,-1
86,baseline,0.594591975,-1
87,baseline,0.576511979,-1
88,baseline,0.596992016,-1
89,baseline,0.613376021,-1
90,baseline,0.607231975,-1
91,baseline,0.604192019,-1
92,baseline,0.591776013,-1
93,baseline,0.588800013,-1
94,baseline,0.589824021,-1
95,baseline,0.591871977,-1
96,baseline,0.596256018,-1
97,baseline,0.590848029,-1
98,baseline,0.588800013,-1
99,baseline,0.592895985,-1
100,interference,0.621568024,-1
101,interference,0.56627202,-1
102,interference,0.569343984,-1
103,interference,0.789503992,-1
104,interference,0.583679974,-1
105,interference,0.587776005,-1
106,interference,0.58060801,-1
107,interference,0.877568007,-1
108,interference,0.567296028,-1
109,interference,0.568319976,-1
110,interference,0.568319976,-1
111,interference,0.592895985,-1
112,interference,0.578559995,-1
113,interference,0.569343984,-1
114,interference,1.06905603,-1
115,interference,0.583679974,-1
116,interference,0.594944,-1
117,interference,0.568319976,-1
118,interference,0.568319976,-1
119,interference,0.567296028,-1
120,interference,0.569343984,-1
121,interference,0.569343984,-1
122,interference,0.567296028,-1
123,interference,0.567296028,-1
124,interference,0.569343984,-1
125,interference,0.568319976,-1
126,interference,0.570367992,-1
127,interference,0.572416008,-1
128,interference,1.05369604,-1
129,interference,0.586751997,-1
130,interference,0.590848029,-1
131,interference,0.58060801,-1
132,interference,0.568319976,-1
133,interference,0.569343984,-1
134,interference,0.568319976,-1
135,interference,0.568319976,-1
136,interference,0.56627202,-1
137,interference,0.569343984,-1
138,interference,0.568319976,-1
139,interference,0.571392,-1
140,interference,0.568319976,-1
141,interference,0.568319976,-1
142,interference,1.03936005,-1
143,interference,0.584703982,-1
144,interference,0.590848029,-1
145,interference,0.591871977,-1
146,interference,0.574464023,-1
147,interference,0.576511979,-1
148,interference,0.571392,-1
149,interference,0.571392,-1
150,interference,0.568319976,-1
151,interference,0.567296028,-1
152,interference,0.570367992,-1
153,interference,0.569343984,-1
154,interference,0.568319976,-1
155,interference,0.569343984,-1
156,interference,0.569343984,-1
157,interference,0.793600023,-1
158,interference,0.586751997,-1
159,interference,0.588800013,-1
160,interference,0.570367992,-1
161,interference,0.568319976,-1
162,interference,0.569343984,-1
163,interference,0.569343984,-1
164,interference,0.569343984,-1
165,interference,0.569343984,-1
166,interference,0.567296028,-1
167,interference,0.568319976,-1
168,interference,0.569343984,-1
169,interference,0.569343984,-1
170,interference,0.570367992,-1
171,interference,0.791552007,-1
172,interference,0.582656026,-1
173,interference,0.591871977,-1
174,interference,0.582656026,-1
175,interference,0.571392,-1
176,interference,0.570367992,-1
177,interference,0.569343984,-1
178,interference,0.567296028,-1
179,interference,0.567296028,-1
180,interference,0.569343984,-1
181,interference,0.55705601,-1
182,recovery,0.569343984,0
183,recovery,0.599039972,1
184,recovery,0.618496001,2
185,recovery,0.610303998,3
186,recovery,0.591871977,4
187,recovery,0.592895985,5
188,recovery,0.533504009,6
189,recovery,0.579584002,7
190,recovery,0.590943992,8
191,recovery,0.589536011,9
192,recovery,0.587776005,10
193,recovery,0.590848029,11
194,recovery,0.590848029,12
195,recovery,0.592768013,13
196,recovery,0.589824021,14
197,recovery,0.543744028,15
198,recovery,0.601087987,16
199,recovery,0.613376021,17
200,recovery,0.593919992,18
201,recovery,0.598815978,19
202,recovery,0.595871985,20
203,recovery,0.591744006,21
204,recovery,0.593919992,22
205,recovery,0.593216002,23
206,recovery,0.592576027,24
207,recovery,0.591871977,25
208,recovery,0.596127987,26
209,recovery,0.589824021,27
210,recovery,0.541696012,28
211,recovery,0.612352014,29
212,recovery,0.612352014,30
213,recovery,0.590848029,31
214,recovery,0.588800013,32
215,recovery,0.590848029,33
216,recovery,0.590848029,34
217,recovery,0.586751997,35
218,recovery,0.592895985,36
219,recovery,0.592832029,37
220,recovery,0.588800013,38
221,recovery,0.594944,39
222,recovery,0.587552011,40
223,recovery,0.538623989,41
224,recovery,0.603136003,42
225,recovery,0.615423977,43
226,recovery,0.593792021,44
227,recovery,0.591871977,45
228,recovery,0.595968008,46
229,recovery,0.591903985,47
230,recovery,0.592736006,48
231,recovery,0.587776005,49
232,recovery,0.593919992,50
233,recovery,0.592927992,51
234,recovery,0.592736006,52
235,recovery,0.588512003,53
236,recovery,0.598016024,54
237,recovery,0.617471993,55
238,recovery,0.611328006,56
239,recovery,0.58572799,57
240,recovery,0.590848029,58
241,recovery,0.592992008,59
242,recovery,0.591871977,60
243,recovery,0.593919992,61
