sample,phase,victim_latency_ms,recovery_index
0,baseline,0.523616016,-1
1,baseline,0.571392,-1
2,baseline,0.588800013,-1
3,baseline,0.588800013,-1
4,baseline,0.593919992,-1
5,baseline,0.591008008,-1
6,baseline,0.595968008,-1
7,baseline,0.535552025,-1
8,baseline,0.574464023,-1
9,baseline,0.58841598,-1
10,baseline,0.541696012,-1
11,baseline,0.606208026,-1
12,baseline,0.613376021,-1
13,baseline,0.60006398,-1
14,baseline,0.589824021,-1
15,baseline,0.592032015,-1
16,baseline,0.596992016,-1
17,baseline,0.592895985,-1
18,baseline,0.591871977,-1
19,baseline,0.594944,-1
20,baseline,0.586399972,-1
21,baseline,0.587391973,-1
22,baseline,0.593824029,-1
23,baseline,0.589824021,-1
24,baseline,0.543744028,-1
25,baseline,0.607231975,-1
26,baseline,0.618496001,-1
27,baseline,0.590848029,-1
28,baseline,0.592895985,-1
29,baseline,0.593728006,-1
30,baseline,0.595968008,-1
31,baseline,0.603136003,-1
32,baseline,0.599039972,-1
33,baseline,0.591871977,-1
34,baseline,0.593887985,-1
35,baseline,0.594944,-1
36,baseline,0.591871977,-1
37,baseline,0.54272002,-1
38,baseline,0.606208026,-1
39,baseline,0.615423977,-1
40,baseline,0.595968008,-1
41,baseline,0.590848029,-1
42,baseline,0.595103979,-1
43,baseline,0.596639991,-1
44,baseline,0.597823977,-1
45,baseline,0.598016024,-1
46,baseline,0.590080023,-1
47,baseline,0.595968008,-1
48,baseline,0.590560019,-1
49,baseline,0.591584027,-1
50,baseline,0.595968008,-1
51,baseline,0.619520009,-1
52,baseline,0.620736003,-1
53,baseline,0.595968008,-1
54,baseline,0.593919992,-1
55,baseline,0.592032015,-1
56,baseline,0.594016016,-1
57,baseline,0.591584027,-1
58,baseline,0.587007999,-1
59,baseline,0.593760014,-1
60,baseline,0.585503995,-1
61,baseline,0.597119987,-1
62,baseline,0.599168003,-1
63,baseline,0.575487971,-1
64,baseline,0.598016024,-1
65,baseline,0.614400029,-1
66,baseline,0.607231975,-1
67,baseline,0.592895985,-1
68,baseline,0.589663982,-1
69,baseline,0.595071971,-1
70,baseline,0.596736014,-1
71,baseline,0.595071971,-1
72,baseline,0.590848029,-1
73,baseline,0.590848029,-1
74,baseline,0.592607975,-1
75,baseline,0.592191994,-1
76,baseline,0.596992016,-1
77,baseline,0.588800013,-1
78,baseline,0.615392029,-1
79,baseline,0.615423977,-1
80,baseline,0.592863977,-1
81,baseline,0.593919992,-1
82,baseline,0.592032015,-1
83,baseline,0.586751997,-1
84,baseline,0.595744014,-1
85,baseline,0.590623975,-1
86,baseline,0.592736006,-1
87,baseline,0.587967992,-1
88,baseline,0.592895985,-1
89,baseline,0.592895985,-1
90,baseline,0.591871977,-1
91,baseline,0.592895985,-1
92,baseline,0.614080012,-1
93,baseline,0.614400029,-1
94,baseline,0.589824021,-1
95,baseline,0.58572799,-1
96,baseline,0.588576019,-1
97,baseline,0.590719998,-1
98,baseline,0.590848029,-1
99,baseline,0.591871977,-1
100,interference,0.643072009,-1
101,interference,0.567296028,-1
102,interference,0.567296028,-1
103,interference,0.568319976,-1
104,interference,0.568319976,-1
105,interference,0.568319976,-1
106,interference,0.567296028,-1
107,interference,1.033216,-1
108,interference,0.592895985,-1
109,interference,0.591871977,-1
110,interference,0.572416008,-1
111,interference,0.567296028,-1
112,interference,0.568319976,-1
113,interference,0.568319976,-1
114,interference,0.569343984,-1
115,interference,0.569343984,-1
116,interference,0.568319976,-1
117,interference,0.569343984,-1
118,interference,0.569343984,-1
119,interference,0.569343984,-1
120,interference,0.569343984,-1
121,interference,0.569343984,-1
122,interference,0.568319976,-1
123,interference,0.568319976,-1
124,interference,0.568319976,-1
125,interference,1.05472004,-1
126,interference,0.588800013,-1
127,interference,0.586751997,-1
128,interference,0.569343984,-1
129,interference,0.567296028,-1
130,interference,0.569343984,-1
131,interference,0.568319976,-1
132,interference,0.568319976,-1
133,interference,0.569343984,-1
134,interference,0.567296028,-1
135,interference,0.568319976,-1
136,interference,0.569343984,-1
137,interference,0.568319976,-1
138,interference,0.568319976,-1
139,interference,1.06700802,-1
140,interference,0.583679974,-1
141,interference,0.583679974,-1
142,interference,0.576511979,-1
143,interference,0.569343984,-1
144,interference,0.568319976,-1
145,interference,0.568319976,-1
146,interference,0.568319976,-1
147,interference,0.568319976,-1
148,interference,0.568319976,-1
149,interference,0.569343984,-1
150,interference,0.567296028,-1
151,interference,0.571392,-1
152,interference,0.567296028,-1
153,interference,1.03424001,-1
154,interference,0.578559995,-1
155,interference,0.588800013,-1
156,interference,0.586751997,-1
157,interference,0.570367992,-1
158,interference,0.568319976,-1
159,interference,0.567296028,-1
160,interference,0.569343984,-1
161,interference,0.568319976,-1
162,interference,0.574464023,-1
163,interference,0.567296028,-1
164,interference,0.56627202,-1
165,interference,0.569343984,-1
166,interference,0.567296028,-1
167,interference,0.567296028,-1
168,interference,0.792576015,-1
169,interference,0.587776005,-1
170,interference,0.596992016,-1
171,interference,0.571392,-1
172,interference,0.570367992,-1
173,interference,0.567296028,-1
174,interference,0.570367992,-1
175,interference,0.568319976,-1
176,interference,0.568319976,-1
177,interference,0.570367992,-1
178,interference,0.569343984,-1
179,interference,0.571392,-1
180,interference,0.567296028,-1
181,interference,0.568319976,-1
182,interference,0.791552007,-1
183,interference,0.58572799,-1
184,interference,0.593919992,-1
185,interference,0.582656026,-1
186,interference,0.569343984,-1
