sample,phase,victim_latency_us,time_since_interference_end_us
175,recovery,18.4320007,1544.19196
176,recovery,15.3599996,1568.76802
177,recovery,13.3119998,1586.17604
178,recovery,13.3119998,1601.53604
179,recovery,14.3360002,1616.89603
180,recovery,13.3119998,1633.28004
181,recovery,13.3119998,1648.64004
182,recovery,13.4720001,1664.00003
183,recovery,13.3119998,1679.36003
184,recovery,13.3119998,1693.69602
185,recovery,13.3119998,1708.03201
186,recovery,14.3360002,1722.368
187,recovery,13.3119998,1737.728
188,recovery,13.3440001,1752.06399
189,recovery,12.2880004,1767.42399
190,recovery,13.3119998,1781.75998
191,recovery,12.6080001,1797.11998
192,recovery,13.3119998,1811.45597
193,recovery,13.3119998,1825.79195
194,recovery,13.3119998,1840.12794
195,recovery,13.3119998,1854.46405
196,recovery,13.3119998,1868.80004
197,recovery,13.3119998,1883.13603
198,recovery,13.3119998,1897.47202
199,recovery,13.3119998,1911.80801
