sample,phase,victim_latency_ms
241,recovery,0.58060801
242,recovery,0.586751997
243,recovery,0.602111995
244,recovery,0.593919992
245,recovery,0.594944
246,recovery,0.593919992
247,recovery,0.592863977
248,recovery,0.599103987
249,recovery,0.591615975
250,recovery,0.590848029
251,recovery,0.588800013
252,recovery,0.589727998
253,recovery,0.576511979
254,recovery,0.610303998
255,recovery,0.614560008
256,recovery,0.590848029
257,recovery,0.594944
258,recovery,0.592895985
259,recovery,0.588959992
260,recovery,0.589824021
261,recovery,0.58870399
262,recovery,0.592607975
263,recovery,0.591711998
264,recovery,0.591871977
265,recovery,0.594944
266,recovery,0.594623983
267,recovery,0.598016024
268,recovery,0.613279998
269,recovery,0.606208026
270,recovery,0.593919992
271,recovery,0.592895985
272,recovery,0.592895985
273,recovery,0.591808021
274,recovery,0.590848029
275,recovery,0.592895985
276,recovery,0.589824021
277,recovery,0.592768013
278,recovery,0.596992016
279,recovery,0.588927984
280,recovery,0.588800013
281,recovery,0.619520009
282,recovery,0.60927999
283,recovery,0.594944
284,recovery,0.592000008
285,recovery,0.593919992
286,recovery,0.595871985
287,recovery,0.592127979
288,recovery,0.591871977
289,recovery,0.591968
290,recovery,0.597311974
291,recovery,0.593919992
292,recovery,0.590848029
293,recovery,0.590848029
294,recovery,0.576511979
295,recovery,0.62262398
296,recovery,0.611328006
297,recovery,0.593919992
298,recovery,0.594944
299,recovery,0.591903985
