sample,phase,victim_latency_ms
241,recovery,0.677887976
242,recovery,0.679935992
243,recovery,0.673792005
244,recovery,0.681056023
245,recovery,0.69529599
246,recovery,0.710655987
247,recovery,0.688127995
248,recovery,0.677887976
249,recovery,0.674751997
250,recovery,0.673792005
251,recovery,0.67584002
252,recovery,0.676768005
253,recovery,0.676864028
254,recovery,0.672384024
255,recovery,0.683008015
256,recovery,0.683008015
257,recovery,0.689152002
258,recovery,0.706463993
259,recovery,0.692224026
260,recovery,0.680191994
261,recovery,0.670719981
262,recovery,0.675872028
263,recovery,0.673792005
264,recovery,0.676864028
265,recovery,0.675584018
266,recovery,0.679647982
267,recovery,0.674816012
268,recovery,0.684895992
269,recovery,0.684319973
270,recovery,0.713375986
271,recovery,0.690432012
272,recovery,0.675808012
273,recovery,0.680703998
274,recovery,0.682079971
275,recovery,0.683008015
276,recovery,0.676864028
277,recovery,0.677792013
278,recovery,0.679935992
279,recovery,0.672767997
280,recovery,0.678911984
281,recovery,0.699392021
282,recovery,0.710655987
283,recovery,0.689152002
284,recovery,0.67584002
285,recovery,0.682335973
286,recovery,0.674816012
287,recovery,0.677088022
288,recovery,0.676864028
289,recovery,0.673471987
290,recovery,0.670719981
291,recovery,0.67584002
292,recovery,0.683008015
293,recovery,0.689152002
294,recovery,0.710560024
295,recovery,0.694271982
296,recovery,0.681984007
297,recovery,0.679935992
298,recovery,0.671743989
299,recovery,0.681984007
