sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
0,baseline,0.507903993,-1,-1
1,baseline,0.558080018,-1,-1
2,baseline,0.574464023,-1,-1
3,baseline,0.591871977,-1,-1
4,baseline,0.591871977,-1,-1
5,baseline,0.598016024,-1,-1
6,baseline,0.535552025,-1,-1
7,baseline,0.574432015,-1,-1
8,baseline,0.591552019,-1,-1
9,baseline,0.543744028,-1,-1
10,baseline,0.582656026,-1,-1
11,baseline,0.612352014,-1,-1
12,baseline,0.590848029,-1,-1
13,baseline,0.592895985,-1,-1
14,baseline,0.595968008,-1,-1
15,baseline,0.594944,-1,-1
16,baseline,0.590848029,-1,-1
17,baseline,0.593919992,-1,-1
18,baseline,0.595968008,-1,-1
19,baseline,0.590592027,-1,-1
20,baseline,0.595776021,-1,-1
21,baseline,0.594944,-1,-1
22,baseline,0.545791984,-1,-1
23,baseline,0.583679974,-1,-1
24,baseline,0.621568024,-1,-1
25,baseline,0.589824021,-1,-1
26,baseline,0.586751997,-1,-1
27,baseline,0.592863977,-1,-1
28,baseline,0.591871977,-1,-1
29,baseline,0.595936,-1,-1
30,baseline,0.594944,-1,-1
31,baseline,0.597087979,-1,-1
32,baseline,0.597855985,-1,-1
33,baseline,0.588800013,-1,-1
34,baseline,0.589824021,-1,-1
35,baseline,0.545791984,-1,-1
36,baseline,0.613376021,-1,-1
37,baseline,0.614400029,-1,-1
38,baseline,0.598016024,-1,-1
39,baseline,0.590848029,-1,-1
40,baseline,0.598016024,-1,-1
41,baseline,0.588576019,-1,-1
42,baseline,0.592863977,-1,-1
43,baseline,0.592895985,-1,-1
44,baseline,0.59068799,-1,-1
45,baseline,0.590784013,-1,-1
46,baseline,0.598016024,-1,-1
47,baseline,0.594944,-1,-1
48,baseline,0.529407978,-1,-1
49,baseline,0.617471993,-1,-1
50,baseline,0.624639988,-1,-1
51,baseline,0.586751997,-1,-1
52,baseline,0.593695998,-1,-1
53,baseline,0.592800021,-1,-1
54,baseline,0.595968008,-1,-1
55,baseline,0.591871977,-1,-1
56,baseline,0.593919992,-1,-1
57,baseline,0.588800013,-1,-1
58,baseline,0.592895985,-1,-1
59,baseline,0.587776005,-1,-1
60,baseline,0.601440012,-1,-1
61,baseline,0.589727998,-1,-1
62,baseline,0.526336014,-1,-1
63,baseline,0.611328006,-1,-1
64,baseline,0.618175983,-1,-1
65,baseline,0.591871977,-1,-1
66,baseline,0.589824021,-1,-1
67,baseline,0.590848029,-1,-1
68,baseline,0.589439988,-1,-1
69,baseline,0.589600027,-1,-1
70,baseline,0.602015972,-1,-1
71,baseline,0.589824021,-1,-1
72,baseline,0.592895985,-1,-1
73,baseline,0.590848029,-1,-1
74,baseline,0.590560019,-1,-1
75,baseline,0.595968008,-1,-1
76,baseline,0.617471993,-1,-1
77,baseline,0.618496001,-1,-1
78,baseline,0.593919992,-1,-1
79,baseline,0.590848029,-1,-1
80,baseline,0.591584027,-1,-1
81,baseline,0.590848029,-1,-1
82,baseline,0.599039972,-1,-1
83,baseline,0.592095971,-1,-1
84,baseline,0.594720006,-1,-1
85,baseline,0.599327981,-1,-1
86,baseline,0.592064023,-1,-1
87,baseline,0.593919992,-1,-1
88,baseline,0.598016024,-1,-1
89,baseline,0.591871977,-1,-1
90,baseline,0.611328006,-1,-1
91,baseline,0.612352014,-1,-1
92,baseline,0.593919992,-1,-1
93,baseline,0.597792029,-1,-1
94,baseline,0.59167999,-1,-1
95,baseline,0.591871977,-1,-1
96,baseline,0.592895985,-1,-1
97,baseline,0.592895985,-1,-1
98,baseline,0.592895985,-1,-1
99,baseline,0.590848029,-1,-1
100,interference,1.16326404,-1,-1
101,interference,1.41004801,-1,-1
102,interference,1.20627201,-1,-1
103,interference,1.48275197,-1,-1
104,interference,1.19807994,-1,-1
105,interference,1.20217597,-1,-1
106,interference,1.20422399,-1,-1
107,interference,1.205248,-1,-1
108,interference,1.64966404,-1,-1
109,interference,1.19705606,-1,-1
110,interference,1.21036804,-1,-1
111,interference,1.21139205,-1,-1
112,interference,1.205248,-1,-1
113,interference,1.20012796,-1,-1
114,interference,1.15302396,-1,-1
115,interference,1.659904,-1,-1
116,interference,1.20012796,-1,-1
117,interference,1.20422399,-1,-1
118,interference,1.16121602,-1,-1
119,interference,1.20729601,-1,-1
120,interference,1.66911995,-1,-1
121,interference,1.19910395,-1,-1
122,interference,1.21139205,-1,-1
123,interference,1.205248,-1,-1
124,interference,1.20422399,-1,-1
125,interference,1.20319998,-1,-1
126,interference,1.16326404,-1,-1
127,interference,1.41312003,-1,-1
128,interference,1.205248,-1,-1
129,interference,1.20217597,-1,-1
130,interference,1.20217597,-1,-1
131,interference,1.20422399,-1,-1
132,interference,1.20115197,-1,-1
133,interference,1.205248,-1,-1
134,interference,1.41004801,-1,-1
135,interference,1.20422399,-1,-1
136,interference,1.205248,-1,-1
137,interference,1.20217597,-1,-1
138,interference,1.16633606,-1,-1
139,interference,1.205248,-1,-1
140,interference,1.20422399,-1,-1
141,interference,1.40492797,-1,-1
142,interference,1.16735995,-1,-1
143,interference,1.16735995,-1,-1
144,interference,1.20217597,-1,-1
145,interference,1.20627201,-1,-1
146,interference,1.20115197,-1,-1
147,interference,1.20319998,-1,-1
148,interference,1.40492797,-1,-1
149,interference,1.20934403,-1,-1
150,interference,1.36601603,-1,-1
151,interference,1.20217597,-1,-1
152,interference,1.205248,-1,-1
