sample,phase,victim_latency_us,time_since_interference_end_us
0,baseline,8.03199969,-1
1,baseline,8.19199998,-1
2,baseline,8.19199998,-1
3,baseline,8.19199998,-1
4,baseline,8.19199998,-1
5,baseline,8.19199998,-1
6,baseline,8.19199998,-1
7,baseline,8.19199998,-1
8,baseline,8.19199998,-1
9,baseline,8.19199998,-1
10,baseline,8.19199998,-1
11,baseline,8.19199998,-1
12,baseline,8.54399987,-1
13,baseline,8.19199998,-1
14,baseline,8.32000002,-1
15,baseline,8.19199998,-1
16,baseline,8.19199998,-1
17,baseline,8.19199998,-1
18,baseline,8.19199998,-1
19,baseline,8.25599954,-1
20,baseline,8.19199998,-1
21,baseline,8.19199998,-1
22,baseline,8.19199998,-1
23,baseline,8.19199998,-1
24,baseline,8.19199998,-1
25,baseline,8.19199998,-1
26,baseline,8.19199998,-1
27,baseline,8.19199998,-1
28,baseline,8.19199998,-1
29,baseline,8.19199998,-1
30,baseline,8.32000002,-1
31,baseline,8.19199998,-1
32,baseline,9.21600033,-1
33,baseline,8.19199998,-1
34,baseline,8.19199998,-1
35,baseline,8.19199998,-1
36,baseline,8.19199998,-1
37,baseline,8.19199998,-1
38,baseline,8.19199998,-1
39,baseline,9.21600033,-1
40,baseline,8.19199998,-1
41,baseline,8.19199998,-1
42,baseline,9.21600033,-1
43,baseline,8.19199998,-1
44,baseline,8.19199998,-1
45,baseline,8.38399958,-1
46,baseline,7.1680001,-1
47,baseline,8.19199998,-1
48,baseline,8.19199998,-1
49,baseline,8.19199998,-1
50,baseline,8.19199998,-1
51,baseline,8.19199998,-1
52,baseline,8.35200027,-1
53,baseline,8.19199998,-1
54,baseline,8.19199998,-1
55,baseline,8.19199998,-1
56,baseline,8.41599982,-1
57,baseline,8.19199998,-1
58,baseline,8.19199998,-1
59,baseline,8.35200027,-1
60,baseline,8.19199998,-1
61,baseline,8.19199998,-1
62,baseline,8.19199998,-1
63,baseline,8.19199998,-1
64,baseline,8.19199998,-1
65,baseline,8.19199998,-1
66,baseline,8.28799978,-1
67,baseline,8.19199998,-1
68,baseline,8.19199998,-1
69,baseline,8.22400022,-1
70,baseline,8.19199998,-1
71,baseline,8.19199998,-1
72,baseline,8.19199998,-1
73,baseline,8.19199998,-1
74,baseline,8.54399987,-1
75,baseline,8.19199998,-1
76,baseline,8.19199998,-1
77,baseline,8.19199998,-1
78,baseline,8.19199998,-1
79,baseline,8.19199998,-1
80,baseline,8.19199998,-1
81,baseline,8.19199998,-1
82,baseline,8.19199998,-1
83,baseline,8.19199998,-1
84,baseline,9.21600033,-1
85,baseline,8.19199998,-1
86,baseline,8.19199998,-1
87,baseline,8.19199998,-1
88,baseline,8.19199998,-1
89,baseline,8.19199998,-1
90,baseline,8.19199998,-1
91,baseline,8.19199998,-1
92,baseline,8.19199998,-1
93,baseline,8.19199998,-1
94,baseline,8.19199998,-1
95,baseline,8.19199998,-1
96,baseline,9.21600033,-1
97,baseline,8.19199998,-1
98,baseline,8.48000031,-1
99,baseline,8.19199998,-1
100,recovery,8.19199998,1.76000001
101,recovery,8.19199998,12.0000001
102,recovery,8.19199998,21.2159995
103,recovery,9.21600033,30.4320008
104,recovery,8.19199998,40.6720005
105,recovery,8.48000031,49.8879999
106,recovery,8.19199998,60.1279996
107,recovery,8.19199998,69.343999
108,recovery,8.19199998,78.5600021
109,recovery,8.19199998,87.7759978
110,recovery,8.19199998,98.0160013
111,recovery,8.19199998,107.231997
112,recovery,8.19199998,116.448
113,recovery,8.19199998,126.688004
114,recovery,8.19199998,135.903999
