sample,phase,victim_latency_us,time_since_interference_end_us
174,recovery,12.2880004,872.223973
175,recovery,12.2880004,888.607979
176,recovery,11.2640001,903.967977
177,recovery,12.2880004,920.351982
178,recovery,13.3119998,937.759995
179,recovery,9.21600033,957.216024
180,recovery,8.19199998,968.479991
181,recovery,9.21600033,977.696002
182,recovery,9.21600033,987.93602
183,recovery,14.3360002,999.199986
184,recovery,12.2880004,1017.63201
185,recovery,12.2880004,1036.06403
186,recovery,11.2640001,1051.42403
187,recovery,10.2399997,1067.80803
188,recovery,8.38399958,1082.14402
189,recovery,8.19199998,1092.38398
190,recovery,8.28799978,1101.60005
191,recovery,10.2399997,1111.84001
192,recovery,9.21600033,1124.12798
193,recovery,10.2399997,1135.39195
194,recovery,9.21600033,1147.68004
195,recovery,10.2399997,1158.94401
196,recovery,10.2399997,1174.30401
197,recovery,10.2399997,1186.59198
198,recovery,9.21600033,1199.90396
199,recovery,8.19199998,1210.14404
