sample,phase,victim_latency_ms,recovery_index
0,baseline,0.529600024,-1
1,baseline,0.575487971,-1
2,baseline,0.575487971,-1
3,baseline,0.598016024,-1
4,baseline,0.619520009,-1
5,baseline,0.613376021,-1
6,baseline,0.534655988,-1
7,baseline,0.569343984,-1
8,baseline,0.593919992,-1
9,baseline,0.592000008,-1
10,baseline,0.589824021,-1
11,baseline,0.591520011,-1
12,baseline,0.590848029,-1
13,baseline,0.591520011,-1
14,baseline,0.593695998,-1
15,baseline,0.592159986,-1
16,baseline,0.539712012,-1
17,baseline,0.619520009,-1
18,baseline,0.638975978,-1
19,baseline,0.589824021,-1
20,baseline,0.594944,-1
21,baseline,0.588544011,-1
22,baseline,0.590560019,-1
23,baseline,0.586495996,-1
24,baseline,0.593919992,-1
25,baseline,0.588576019,-1
26,baseline,0.593056023,-1
27,baseline,0.590207994,-1
28,baseline,0.590848029,-1
29,baseline,0.543744028,-1
30,baseline,0.60927999,-1
31,baseline,0.611328006,-1
32,baseline,0.592895985,-1
33,baseline,0.593919992,-1
34,baseline,0.591903985,-1
35,baseline,0.595871985,-1
36,baseline,0.588735998,-1
37,baseline,0.591871977,-1
38,baseline,0.592607975,-1
39,baseline,0.583679974,-1
40,baseline,0.591871977,-1
41,baseline,0.58742398,-1
42,baseline,0.595583975,-1
43,baseline,0.54272002,-1
44,baseline,0.60927999,-1
45,baseline,0.615423977,-1
46,baseline,0.591840029,-1
47,baseline,0.590207994,-1
48,baseline,0.584927976,-1
49,baseline,0.593919992,-1
50,baseline,0.593919992,-1
51,baseline,0.590848029,-1
52,baseline,0.595968008,-1
53,baseline,0.590848029,-1
54,baseline,0.589631975,-1
55,baseline,0.595776021,-1
56,baseline,0.584703982,-1
57,baseline,0.622367978,-1
58,baseline,0.610303998,-1
59,baseline,0.598016024,-1
60,baseline,0.589824021,-1
61,baseline,0.592895985,-1
62,baseline,0.593919992,-1
63,baseline,0.589824021,-1
64,baseline,0.590848029,-1
65,baseline,0.591903985,-1
66,baseline,0.594944,-1
67,baseline,0.595776021,-1
68,baseline,0.595808029,-1
69,baseline,0.592895985,-1
70,baseline,0.618496001,-1
71,baseline,0.612511992,-1
72,baseline,0.598016024,-1
73,baseline,0.589760005,-1
74,baseline,0.583679974,-1
75,baseline,0.591871977,-1
76,baseline,0.595968008,-1
77,baseline,0.590848029,-1
78,baseline,0.593919992,-1
79,baseline,0.591871977,-1
80,baseline,0.592800021,-1
81,baseline,0.593919992,-1
82,baseline,0.593087971,-1
83,baseline,0.593919992,-1
84,baseline,0.622591972,-1
85,baseline,0.610303998,-1
86,baseline,0.592895985,-1
87,baseline,0.591871977,-1
88,baseline,0.592895985,-1
89,baseline,0.589824021,-1
90,baseline,0.589824021,-1
91,baseline,0.590848029,-1
92,baseline,0.591808021,-1
93,baseline,0.591871977,-1
94,baseline,0.589663982,-1
95,baseline,0.588992,-1
96,baseline,0.590848029,-1
97,baseline,0.591871977,-1
98,baseline,0.616447985,-1
99,baseline,0.612352014,-1
100,interference,0.630783975,-1
101,interference,0.569343984,-1
102,interference,0.56627202,-1
103,interference,0.568319976,-1
104,interference,0.567296028,-1
105,interference,0.568319976,-1
106,interference,0.568319976,-1
107,interference,0.873471975,-1
108,interference,0.541696012,-1
109,recovery,0.588032007,0
110,recovery,0.541696012,1
111,recovery,0.60927999,2
112,recovery,0.614400029,3
113,recovery,0.591615975,4
114,recovery,0.532480001,5
115,recovery,0.588544011,6
116,recovery,0.592895985,7
117,recovery,0.590752006,8
118,recovery,0.59324801,9
119,recovery,0.594752014,10
120,recovery,0.591871977,11
121,recovery,0.588512003,12
122,recovery,0.595968008,13
123,recovery,0.541696012,14
124,recovery,0.594911993,15
125,recovery,0.614400029,16
126,recovery,0.590848029,17
127,recovery,0.593919992,18
128,recovery,0.588800013,19
129,recovery,0.591871977,20
130,recovery,0.593760014,21
131,recovery,0.596831977,22
132,recovery,0.589824021,23
133,recovery,0.594304025,24
134,recovery,0.59977603,25
135,recovery,0.591135979,26
136,recovery,0.541696012,27
137,recovery,0.602111995,28
138,recovery,0.619520009,29
139,recovery,0.591871977,30
140,recovery,0.595968008,31
141,recovery,0.590848029,32
142,recovery,0.595040023,33
143,recovery,0.599039972,34
144,recovery,0.591871977,35
145,recovery,0.592895985,36
146,recovery,0.592607975,37
147,recovery,0.592992008,38
148,recovery,0.587776005,39
149,recovery,0.541696012,40
150,recovery,0.612352014,41
151,recovery,0.615423977,42
152,recovery,0.594016016,43
153,recovery,0.589824021,44
154,recovery,0.590848029,45
155,recovery,0.589568019,46
156,recovery,0.595744014,47
157,recovery,0.591808021,48
158,recovery,0.593855977,49
159,recovery,0.597024024,50
160,recovery,0.592863977,51
161,recovery,0.595776021,52
162,recovery,0.60006398,53
163,recovery,0.588800013,54
164,recovery,0.618496001,55
165,recovery,0.613376021,56
166,recovery,0.590719998,57
167,recovery,0.593887985,58
168,recovery,0.592895985,59
169,recovery,0.591871977,60
170,recovery,0.594944,61
171,recovery,0.596831977,62
172,recovery,0.590976,63
173,recovery,0.590848029,64
174,recovery,0.601023972,65
175,recovery,0.592895985,66
176,recovery,0.572416008,67
177,recovery,0.576511979,68
178,recovery,0.602111995,69
179,recovery,0.592832029,70
180,recovery,0.595968008,71
181,recovery,0.601184011,72
182,recovery,0.599807978,73
183,recovery,0.582656026,74
184,recovery,0.573440015,75
185,recovery,0.58060801,76
186,recovery,0.573440015,77
187,recovery,0.572416008,78
188,recovery,0.553983986,79
189,recovery,0.614400029,80
190,recovery,0.604160011,81
191,recovery,0.587776005,82
192,recovery,0.552959979,83
193,recovery,0.543744028,84
194,recovery,0.571392,85
195,recovery,0.563199997,86
196,recovery,0.558080018,87
197,recovery,0.592736006,88
198,recovery,0.549920022,89
199,recovery,0.552959979,90
200,recovery,0.602111995,91
201,recovery,0.604160011,92
202,recovery,0.596992016,93
203,recovery,0.546815991,94
204,recovery,0.555007994,95
205,recovery,0.545791984,96
206,recovery,0.552959979,97
207,recovery,0.545120001,98
208,recovery,0.573440015,99
